22.4;22.87;22.39;22.5;33101;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;0.14;-1;0;0;0;0

22.29;22.59;21.97;22.5;23572;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-0.25;-1;0;0;0;0

22;22.41;21.82;22.39;29558;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;0.11;-1;0;0;0;0

21.95;22.05;21.52;21.69;16047;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;0.05;+1;0;0;0;0

22.19;22.26;21.84;22.05;22770;0.24;-0.05;-0.29;-0.11;-0.06;0.22;0.07;-0.48;0.30;-0.45;0.04;-0.06;0.02;-0.15;0.16;-0.16;-1.51;0.06;-0.19;-0.07;0.06;0.00;0.60;-0.10;-0.20;0.11;-0.36;-0.86;-0.45;-0.12;-0.54;-0.38;-0.13;-0.05;0.36;0.04;0.00;-0.17;0.30;0.10;0.15;0.05;0.44;-0.01;-0.15;0.44;-0.02;-0.95;0.10;0.60;0.01;-0.66;-0.43;0.08;0.51;0.04;-0.40;0.15;-0.20;-0.21;-0.13;-0.01;-0.59;0.24;-0.56;0.69;0.05;0.18;0.06;-0.32;-1.11;0.37;0.09;-0.55;0.60;-0.44;0.64;-0.03;-0.64;-0.46;-1;0;0;0;0

