11.25;0.45;-0.21;0.01;+1;0;0;0;0

11.37;0.12;0.45;-0.21;+1;0;0;0;0

11.7;0.33;0.12;0.45;+1;0;0;0;0

11.71;0.01;0.33;0.12;-1;0;0;0;0

11.52;-0.19;0.01;0.33;+1;0;0;0;0

11.57;0.05;-0.19;0.01;-1;0;0;0;0

11.31;-0.26;0.05;-0.19;+1;0;0;0;0

11.35;0.04;-0.26;0.05;+1;0;0;0;0

11.46;0.11;0.04;-0.26;+1;0;0;0;0

11.48;0.02;0.11;0.04;-1;0;0;0;0

10.9;-0.58;0.02;0.11;-1;0;0;0;0

10.8;-0.10;-0.58;0.02;-1;0;0;0;0

10.55;-0.25;-0.10;-0.58;+1;0;0;0;0

10.76;0.21;-0.25;-0.10;+1;0;0;0;0

11;0.24;0.21;-0.25;-1;0;0;0;0

10.54;-0.46;0.24;0.21;+1;0;0;0;0

10.69;0.15;-0.46;0.24;+1;0;0;0;0

11;0.31;0.15;-0.46;+1;0;0;0;0

11.01;0.01;0.31;0.15;-1;0;0;0;0

10.95;-0.06;0.01;0.31;-1;0;0;0;0

10.95;0.00;-0.06;0.01;-1;0;0;0;0

10.75;-0.20;0.00;-0.06;-1;0;0;0;0

10.75;0.00;-0.20;0.00;+1;0;0;0;0

10.8;0.05;0.00;-0.20;+1;0;0;0;0

10.95;0.15;0.05;0.00;+1;0;0;0;0

11.15;0.20;0.15;0.05;-1;0;0;0;0

11;-0.15;0.20;0.15;+1;0;0;0;0

11.1;0.10;-0.15;0.20;-1;0;0;0;0

11;-0.10;0.10;-0.15;-1;0;0;0;0

10.76;-0.24;-0.10;0.10;+1;0;0;0;0

10.85;0.09;-0.24;-0.10;+1;0;0;0;0

10.89;0.04;0.09;-0.24;-1;0;0;0;0

10.89;0.00;0.04;0.09;+1;0;0;0;0

11.23;0.34;0.00;0.04;+1;0;0;0;0

11.7;0.47;0.34;0.00;+1;0;0;0;0

11.78;0.08;0.47;0.34;-1;0;0;0;0

11.67;-0.11;0.08;0.47;-1;0;0;0;0

11.4;-0.27;-0.11;0.08;-1;0;0;0;0

11.4;0.00;-0.27;-0.11;-1;0;0;0;0

11.23;-0.17;0.00;-0.27;-1;0;0;0;0

11.15;-0.08;-0.17;0.00;+1;0;0;0;0

11.3;0.15;-0.08;-0.17;-1;0;0;0;0

11.28;-0.02;0.15;-0.08;-1;0;0;0;0

11.2;-0.08;-0.02;0.15;+1;0;0;0;0

11.39;0.19;-0.08;-0.02;-1;0;0;0;0

11.05;-0.34;0.19;-0.08;+1;0;0;0;0

11.47;0.42;-0.34;0.19;-1;0;0;0;0

11.46;-0.01;0.42;-0.34;+1;0;0;0;0

11.65;0.19;-0.01;0.42;-1;0;0;0;0

11.63;-0.02;0.19;-0.01;-1;0;0;0;0

11.38;-0.25;-0.02;0.19;-1;0;0;0;0

11.32;-0.06;-0.25;-0.02;-1;0;0;0;0

11.25;-0.07;-0.06;-0.25;+1;0;0;0;0

11.26;0.01;-0.07;-0.06;-1;0;0;0;0

11.22;-0.04;0.01;-0.07;-1;0;0;0;0

11.15;-0.07;-0.04;0.01;-1;0;0;0;0

11;-0.15;-0.07;-0.04;+1;0;0;0;0

11.31;0.31;-0.15;-0.07;+1;0;0;0;0

11.4;0.09;0.31;-0.15;-1;0;0;0;0

11.2;-0.20;0.09;0.31;-1;0;0;0;0

11.1;-0.10;-0.20;0.09;-1;0;0;0;0

10.85;-0.25;-0.10;-0.20;+1;0;0;0;0

11.24;0.39;-0.25;-0.10;-1;0;0;0;0

11.08;-0.16;0.39;-0.25;+1;0;0;0;0

11.17;0.09;-0.16;0.39;-1;0;0;0;0

10.75;-0.42;0.09;-0.16;-1;0;0;0;0

