14.8;15.27;14.8;15;26736;0.35;0.30;-0.78;-0.32;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-0.15;0.45;0.09;0.06;+1;0;0;0;0

15.09;15.12;14.6;14.7;14940;0.29;0.35;0.30;-0.78;-0.32;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-0.15;0.45;0.09;-1;0;0;0;0

14.7;15.21;14.61;15.21;21007;-0.39;0.29;0.35;0.30;-0.78;-0.32;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-0.15;0.45;-1;0;0;0;0

14.42;14.81;14.3;14.8;18568;-0.28;-0.39;0.29;0.35;0.30;-0.78;-0.32;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-0.15;-1;0;0;0;0

14.18;14.42;14.03;14.3;13872;-0.24;-0.28;-0.39;0.29;0.35;0.30;-0.78;-0.32;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;0.05;-1;0;0;0;0

13.93;14.29;13.65;14.17;17987;-0.25;-0.24;-0.28;-0.39;0.29;0.35;0.30;-0.78;-0.32;-0.31;-0.26;0.22;0.16;-0.08;-0.38;0.03;-0.03;0.61;0.11;-0.30;0.18;-0.20;-0.27;-0.07;-0.25;-0.12;0.43;-0.10;0.08;-0.40;-0.10;-0.15;-0.05;0.35;-0.15;-0.02;-0.18;0.20;-0.05;0.25;-0.02;-0.17;0.01;-0.38;0.19;-0.42;-0.28;0.28;0.71;0.24;-0.11;-0.41;0.01;0.33;0.43;-0.06;-0.22;0.20;-0.03;0.30;-1;0;0;0;0

