35.8;0.20;-0.23;-0.77;0.70;-1.21;2.86;-0.31;-0.55;0.11;0.00;-1;0;0;0;0

35.8;0.00;0.20;-0.23;-0.77;0.70;-1.21;2.86;-0.31;-0.55;0.11;-1;0;0;0;0

35.69;-0.11;0.00;0.20;-0.23;-0.77;0.70;-1.21;2.86;-0.31;-0.55;-1;0;0;0;0

35.15;-0.54;-0.11;0.00;0.20;-0.23;-0.77;0.70;-1.21;2.86;-0.31;+1;0;0;0;0

35.6;0.45;-0.54;-0.11;0.00;0.20;-0.23;-0.77;0.70;-1.21;2.86;-1;0;0;0;0

35.01;-0.59;0.45;-0.54;-0.11;0.00;0.20;-0.23;-0.77;0.70;-1.21;-1;0;0;0;0

34.7;-0.31;-0.59;0.45;-0.54;-0.11;0.00;0.20;-0.23;-0.77;0.70;-1;0;0;0;0

33.01;-1.69;-0.31;-0.59;0.45;-0.54;-0.11;0.00;0.20;-0.23;-0.77;+1;0;0;0;0

34.4;1.39;-1.69;-0.31;-0.59;0.45;-0.54;-0.11;0.00;0.20;-0.23;+1;0;0;0;0

34.85;0.45;1.39;-1.69;-0.31;-0.59;0.45;-0.54;-0.11;0.00;0.20;-1;0;0;0;0

34.6;-0.25;0.45;1.39;-1.69;-0.31;-0.59;0.45;-0.54;-0.11;0.00;+1;0;0;0;0

34.69;0.09;-0.25;0.45;1.39;-1.69;-0.31;-0.59;0.45;-0.54;-0.11;+1;0;0;0;0

35.5;0.81;0.09;-0.25;0.45;1.39;-1.69;-0.31;-0.59;0.45;-0.54;-1;0;0;0;0

34.59;-0.91;0.81;0.09;-0.25;0.45;1.39;-1.69;-0.31;-0.59;0.45;+1;0;0;0;0

35;0.41;-0.91;0.81;0.09;-0.25;0.45;1.39;-1.69;-0.31;-0.59;-1;0;0;0;0

34.02;-0.98;0.41;-0.91;0.81;0.09;-0.25;0.45;1.39;-1.69;-0.31;-1;0;0;0;0

34;-0.02;-0.98;0.41;-0.91;0.81;0.09;-0.25;0.45;1.39;-1.69;+1;0;0;0;0

34.45;0.45;-0.02;-0.98;0.41;-0.91;0.81;0.09;-0.25;0.45;1.39;+1;0;0;0;0

35;0.55;0.45;-0.02;-0.98;0.41;-0.91;0.81;0.09;-0.25;0.45;-1;0;0;0;0

35;0.00;0.55;0.45;-0.02;-0.98;0.41;-0.91;0.81;0.09;-0.25;+1;0;0;0;0

35.14;0.14;0.00;0.55;0.45;-0.02;-0.98;0.41;-0.91;0.81;0.09;-1;0;0;0;0

35;-0.14;0.14;0.00;0.55;0.45;-0.02;-0.98;0.41;-0.91;0.81;+1;0;0;0;0

35.02;0.02;-0.14;0.14;0.00;0.55;0.45;-0.02;-0.98;0.41;-0.91;-1;0;0;0;0

35;-0.02;0.02;-0.14;0.14;0.00;0.55;0.45;-0.02;-0.98;0.41;+1;0;0;0;0

35.14;0.14;-0.02;0.02;-0.14;0.14;0.00;0.55;0.45;-0.02;-0.98;+1;0;0;0;0

35.3;0.16;0.14;-0.02;0.02;-0.14;0.14;0.00;0.55;0.45;-0.02;+1;0;0;0;0

36.8;1.50;0.16;0.14;-0.02;0.02;-0.14;0.14;0.00;0.55;0.45;-1;0;0;0;0

36.1;-0.70;1.50;0.16;0.14;-0.02;0.02;-0.14;0.14;0.00;0.55;+1;0;0;0;0

36.31;0.21;-0.70;1.50;0.16;0.14;-0.02;0.02;-0.14;0.14;0.00;-1;0;0;0;0

