25.91;26.57;25.85;26.35;12013;-0.41;-0.58;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-0.28;0.02;-1;0;0;0;0

24.8;25.8;24.77;25.55;14460;-1.11;-0.41;-0.58;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-0.28;+1;0;0;0;0

25.35;25.75;24.66;24.91;13845;0.55;-1.11;-0.41;-0.58;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;1.05;-1;0;0;0;0

25;25.35;24.5;25.35;15923;-0.35;0.55;-1.11;-0.41;-0.58;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;0.48;+1;0;0;0;0

25.4;25.52;24.96;25.35;22707;0.40;-0.35;0.55;-1.11;-0.41;-0.58;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-0.46;-1;0;0;0;0

25;25.6;24.78;25.52;10307;-0.40;0.40;-0.35;0.55;-1.11;-0.41;-0.58;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-0.38;-1;0;0;0;0

24.81;25.3;24.81;25.13;10778;-0.19;-0.40;0.40;-0.35;0.55;-1.11;-0.41;-0.58;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;0.26;-1;0;0;0;0

24.51;24.95;24.24;24.95;5905;-0.30;-0.19;-0.40;0.40;-0.35;0.55;-1.11;-0.41;-0.58;0.50;-0.60;0.25;-2.05;0.42;-0.22;1.00;0.88;-0.68;-0.21;0.41;0.46;-0.76;-0.25;0.55;0.70;-0.62;0.31;-0.67;1.00;-0.37;-0.21;0.47;0.89;0.62;0.68;-0.25;-0.30;0.85;0.10;0.30;-1;0;0;0;0

