98;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;5.20;-0.40;-1;0;0;0;0

94.9;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;5.20;-1;0;0;0;0

92;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;0.88;-1;0;0;0;0

91.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1.38;-1;0;0;0;0

91;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;0.80;-1;0;0;0;0

90;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-0.90;+1;0;0;0;0

91;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;2.20;-1;0;0;0;0

86.25;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1.80;+1;0;0;0;0

87.49;1.24;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;0.40;-1;0;0;0;0

86.7;-0.79;1.24;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;-0.90;+1;0;0;0;0

93;6.30;-0.79;1.24;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-4.21;+1;0;0;0;0

96.5;3.50;6.30;-0.79;1.24;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;3.21;-1;0;0;0;0

93.47;-3.03;3.50;6.30;-0.79;1.24;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;0.50;-1;0;0;0;0

90.33;-3.14;-3.03;3.50;6.30;-0.79;1.24;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;1.25;-1;0;0;0;0

87.32;-3.01;-3.14;-3.03;3.50;6.30;-0.79;1.24;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;1.50;+1;0;0;0;0

90.2;2.88;-3.01;-3.14;-3.03;3.50;6.30;-0.79;1.24;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;1.34;+1;0;0;0;0

92;1.80;2.88;-3.01;-3.14;-3.03;3.50;6.30;-0.79;1.24;-4.75;1.00;-1.00;-0.99;-0.01;-2.90;-3.10;-3.80;-2.00;-1.20;-0.85;3.06;1.79;-0.40;0.86;3.84;-2.30;1.00;0.02;0.23;-1.95;0.70;3.40;-2.16;-2.98;2.44;-2.09;-1.31;-1.61;0.31;1.41;-1;0;0;0;0

