23.99;24.15;23.48;23.66;142812;0.35;-0.46;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;-0.19;-1;0;0;0;0

23.6;23.7;23.41;23.5;150129;-0.39;0.35;-0.46;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;0.21;+1;0;0;0;0

23.85;24.08;23.74;23.86;128694;0.25;-0.39;0.35;-0.46;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;-0.29;+1;0;0;0;0

23.9;24.21;23.65;23.83;125277;0.05;0.25;-0.39;0.35;-0.46;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;0.00;+1;0;0;0;0

24.2;24.2;23.76;24;170950;0.30;0.05;0.25;-0.39;0.35;-0.46;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;0.02;+1;0;0;0;0

24.29;24.44;24.14;24.32;138521;0.09;0.30;0.05;0.25;-0.39;0.35;-0.46;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;0.14;-1;0;0;0;0

24.08;24.32;24.05;24.32;36203;-0.21;0.09;0.30;0.05;0.25;-0.39;0.35;-0.46;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;0.23;+1;0;0;0;0

24.09;24.35;23.88;24.3;164225;0.01;-0.21;0.09;0.30;0.05;0.25;-0.39;0.35;-0.46;-0.30;0.46;0.42;-0.16;-0.33;-0.67;0.08;0.39;-0.26;-0.85;-0.13;-0.28;0.13;0.15;-0.29;-0.46;0.02;-0.11;0.56;0.24;-1.04;0.55;-0.17;-0.50;-0.84;-0.52;0.01;-0.17;-0.20;-0.24;-0.13;-1;0;0;0;0

