16;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-0.90;+1;0;0;0;0

16.21;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;0.20;-1;0;0;0;0

16.05;-0.16;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;-1.61;+1;0;0;0;0

16.45;0.40;-0.16;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;-1.09;+1;0;0;0;0

17.39;0.94;0.40;-0.16;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;-0.51;+1;0;0;0;0

17.76;0.37;0.94;0.40;-0.16;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;1.51;+1;0;0;0;0

18.9;1.14;0.37;0.94;0.40;-0.16;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;1.50;-1;0;0;0;0

18.09;-0.81;1.14;0.37;0.94;0.40;-0.16;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;-0.30;-1;0;0;0;0

17.73;-0.36;-0.81;1.14;0.37;0.94;0.40;-0.16;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;-0.96;+1;0;0;0;0

18.1;0.37;-0.36;-0.81;1.14;0.37;0.94;0.40;-0.16;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;-0.44;+1;0;0;0;0

18.85;0.75;0.37;-0.36;-0.81;1.14;0.37;0.94;0.40;-0.16;0.21;-0.95;-1.53;-1.37;-0.14;-0.71;0.45;-0.23;0.48;0.70;0.00;+1;0;0;0;0

